1431 out of 4078 wrong corrections
('abouta', 'about a', ('about',))
('aboutit', 'about it', ('about',))
('aboutthe', 'about the', ['aboutthe'])
('abondons', 'abandons', ('abandon',))
('unnecesarily', 'unnecessarily', ['unnecesarily'])
('unoffical', 'unofficial', ['unoffical'])
('unoperational', 'nonoperational', ('operational',))
('unoticeable', 'unnoticeable', ('noticeably',))
('unplease', 'displease', ('please',))
('unsubstanciated', 'unsubstantiated', ['unsubstanciated'])
('unsuccesful', 'unsuccessful', ('succesful',))
('unsuccesfully', 'unsuccessfully', ['unsuccesfully'])
('unsuccessfull', 'unsuccessful', ('successfull',))
('unsucesful', 'unsuccessful', ['unsucesful'])
('unsucesfuly', 'unsuccessfully', ['unsucesfuly'])
('unsucessful', 'unsuccessful', ['unsucessful'])
('unsucessfull', 'unsuccessful', ['unsucessfull'])
('unsucessfully', 'unsuccessfully', ('sucessfully',))
('unsuprised', 'unsurprised', ('unsupervised',))
('unsuprising', 'unsurprising', ('suprising',))
('unsuprisingly', 'unsurprisingly', ['unsuprisingly'])
('unsuprized', 'unsurprised', ['unsuprized'])
('unsuprizing', 'unsurprising', ['unsuprizing'])
('unsuprizingly', 'unsurprisingly', ['unsuprizingly'])
('unsurprized', 'unsurprised', ['unsurprized'])
('unsurprizing', 'unsurprising', ['unsurprizing'])
('unsurprizingly', 'unsurprisingly', ['unsurprizingly'])
('unuseable', 'unusable', ('unstable',))
('unusuable', 'unusable', ('unusual',))
('unwarrented', 'unwarranted', ['unwarrented'])
('unweildly', 'unwieldy', ['unweildly'])
('unwieldly', 'unwieldy', ['unwieldly'])
('upto', 'up to', ('unto',))
('usally', 'usually', ('sally',))
('usefuly', 'usefully', ('useful',))
('usualy', 'usually', ('usual',))
('vaccume', 'vacuum', ('vaccine',))
('varing', 'varying', ('caring',))
('vasall', 'vassal', ('nasal',))
('vasalls', 'vassals', ('lasalle',))
('vermillion', 'vermilion', ['vermillion'])
('villification', 'vilification', ('nullification',))
('villify', 'vilify', ('villainy',))
('virtualy', 'virtually', ('virtual',))
('visably', 'visibly', ('visually',))
('volcanoe', 'volcano', ('volcanoes',))
('volonteered', 'volunteered', ['volonteered'])
('volounteered', 'volunteered', ['volounteered'])
('vreity', 'variety', ('verity',))
('vyer', 'very', ('dyer',))
('vyre', 'very', ('eyre',))
('warantee', 'warranty', ('guarantee',))
('warrent', 'warrant', ('warren',))
('wass', 'was', ('wars',))
('weilded', 'wielded', ['weilded'])
('wendsay', 'Wednesday', ('wendy',))
('wensday', 'Wednesday', ('wendy',))
('whant', 'want', ('what',))
('wheras', 'whereas', ('wheres',))
('wherease', 'whereas', ('therese',))
('whic', 'which', ('chic',))
('whn', 'when', ('who',))
('wholey', 'wholly', ('whole',))
('witheld', 'withheld', ('wilhelm',))
('withold', 'withhold', ('without',))
('wnat', 'want', ('what',))
('worstened', 'worsened', ('worsted',))
('writen', 'written', ('write',))
('xenophoby', 'xenophobia', ('xenophobe',))
('yaching', 'yachting', ('aching',))
('yatch', 'yacht', ('watch',))
('yearm', 'year', ('years',))
('yeilding', 'yielding', ('feilding',))
('yrea', 'year', ('area',))
('yersa', 'years', ('versa',))
('youseff', 'yousef', ('yourself',))
("aircrafts'", "aircraft's", ('aircraft',))
('didnt', "didn't", ('idnt',))
('doesnt', "doesn't", ['doesnt'])
("dosen't", "doesn't", ('dose', 'not'))
('hasnt', "hasn't", ('haunt',))
('isnt', "isn't", ('ist',))
('theyre', "they're", ('there',))
('todays', "today's", ('today',))
('wasnt', "wasn't", ('want',))
